"","rules","support","confidence","coverage","lift","count"
"107","{LegPress=Adutor,Crucifixo=Adutor} => {Afundo=LegPress}",0.0789473684210526,1,0.0789473684210526,12.6666666666667,3
"108","{Afundo=LegPress,Crucifixo=Adutor} => {LegPress=Adutor}",0.0789473684210526,1,0.0789473684210526,12.6666666666667,3
"109","{Gemeos=Agachamento,Afundo=LegPress} => {Crucifixo=Adutor}",0.0789473684210526,1,0.0789473684210526,12.6666666666667,3
"110","{Gemeos=Agachamento,Crucifixo=Adutor} => {Afundo=LegPress}",0.0789473684210526,1,0.0789473684210526,12.6666666666667,3
"111","{Afundo=LegPress,Crucifixo=Adutor} => {Gemeos=Agachamento}",0.0789473684210526,1,0.0789473684210526,12.6666666666667,3
"112","{Gemeos=LegPress,Afundo=Afundo} => {LegPress=Gemeos}",0.0789473684210526,1,0.0789473684210526,7.6,3
"113","{LegPress=Gemeos,Gemeos=LegPress} => {Afundo=Afundo}",0.0789473684210526,1,0.0789473684210526,7.6,3
"114","{LegPress=Gemeos,Afundo=Afundo} => {Gemeos=LegPress}",0.0789473684210526,1,0.0789473684210526,12.6666666666667,3
"115","{LegPress=Afundo,Gemeos=AgachamentoSmith} => {Crucifixo=Esteira}",0.0263157894736842,1,0.0263157894736842,3.16666666666667,1
"116","{LegPress=Afundo,Crucifixo=Esteira} => {Gemeos=AgachamentoSmith}",0.0263157894736842,1,0.0263157894736842,3.8,1
"117","{LegPress=Afundo,Afundo=} => {Gemeos=}",0.0526315789473684,1,0.0526315789473684,2.92307692307692,2
"118","{LegPress=Afundo,Gemeos=} => {Afundo=}",0.0526315789473684,1,0.0526315789473684,2.92307692307692,2
"119","{LegPress=Afundo,Afundo=} => {Crucifixo=}",0.0526315789473684,1,0.0526315789473684,2.375,2
"120","{LegPress=Afundo,Crucifixo=} => {Afundo=}",0.0526315789473684,1,0.0526315789473684,2.92307692307692,2
"121","{LegPress=Afundo,Gemeos=} => {Crucifixo=}",0.0526315789473684,1,0.0526315789473684,2.375,2
"122","{LegPress=Afundo,Crucifixo=} => {Gemeos=}",0.0526315789473684,1,0.0526315789473684,2.92307692307692,2
"123","{Gemeos=Gemeos,Afundo=Agachamento} => {LegPress=LegPress}",0.0789473684210526,1,0.0789473684210526,2.71428571428571,3
"124","{LegPress=LegPress,Afundo=Agachamento} => {Gemeos=Gemeos}",0.0789473684210526,1,0.0789473684210526,6.33333333333333,3
"125","{Gemeos=Gemeos,Afundo=Agachamento} => {Crucifixo=}",0.0789473684210526,1,0.0789473684210526,2.375,3
"126","{Afundo=Agachamento,Crucifixo=} => {Gemeos=Gemeos}",0.0789473684210526,1,0.0789473684210526,6.33333333333333,3
"127","{Gemeos=Gemeos,Crucifixo=} => {Afundo=Agachamento}",0.0789473684210526,1,0.0789473684210526,12.6666666666667,3
"128","{LegPress=LegPress,Afundo=Agachamento} => {Crucifixo=}",0.0789473684210526,1,0.0789473684210526,2.375,3
"129","{Afundo=Agachamento,Crucifixo=} => {LegPress=LegPress}",0.0789473684210526,1,0.0789473684210526,2.71428571428571,3
"130","{Gemeos=Gemeos,Afundo=Afundo} => {LegPress=LegPress}",0.0526315789473684,1,0.0526315789473684,2.71428571428571,2
"131","{LegPress=LegPress,Afundo=Afundo} => {Gemeos=Gemeos}",0.0526315789473684,1,0.0526315789473684,6.33333333333333,2
"132","{LegPress=Gemeos,Afundo=} => {Gemeos=}",0.0526315789473684,1,0.0526315789473684,2.92307692307692,2
"133","{LegPress=Gemeos,Gemeos=} => {Afundo=}",0.0526315789473684,1,0.0526315789473684,2.92307692307692,2
"134","{LegPress=Gemeos,Afundo=} => {Crucifixo=}",0.0526315789473684,1,0.0526315789473684,2.375,2
"135","{LegPress=Gemeos,Crucifixo=} => {Afundo=}",0.0526315789473684,1,0.0526315789473684,2.92307692307692,2
"136","{LegPress=Gemeos,Gemeos=} => {Crucifixo=}",0.0526315789473684,1,0.0526315789473684,2.375,2
"137","{LegPress=Gemeos,Crucifixo=} => {Gemeos=}",0.0526315789473684,1,0.0526315789473684,2.92307692307692,2
"138","{Gemeos=Gemeos,Crucifixo=Esteira} => {Afundo=Bicicleta}",0.0263157894736842,1,0.0263157894736842,3.16666666666667,1
"139","{Gemeos=Gemeos,Afundo=Bicicleta} => {Crucifixo=Esteira}",0.0263157894736842,1,0.0263157894736842,3.16666666666667,1
"140","{Gemeos=Gemeos,Crucifixo=Esteira} => {LegPress=Extensor}",0.0263157894736842,1,0.0263157894736842,2.92307692307692,1
"141","{LegPress=Extensor,Gemeos=Gemeos} => {Crucifixo=Esteira}",0.0263157894736842,1,0.0263157894736842,3.16666666666667,1
"142","{Gemeos=Gemeos,Afundo=Bicicleta} => {LegPress=Extensor}",0.0263157894736842,1,0.0263157894736842,2.92307692307692,1
"143","{LegPress=Extensor,Gemeos=Gemeos} => {Afundo=Bicicleta}",0.0263157894736842,1,0.0263157894736842,3.16666666666667,1
"144","{Gemeos=Gemeos,Crucifixo=} => {LegPress=LegPress}",0.0789473684210526,1,0.0789473684210526,2.71428571428571,3
"145","{Gemeos=AgachamentoSmith,Crucifixo=Esteira} => {Afundo=Bicicleta}",0.157894736842105,0.75,0.210526315789474,2.375,6
"146","{Gemeos=AgachamentoSmith,Afundo=Bicicleta} => {Crucifixo=Esteira}",0.157894736842105,0.75,0.210526315789474,2.375,6
"147","{Gemeos=AgachamentoSmith,Crucifixo=Esteira} => {LegPress=Extensor}",0.184210526315789,0.875,0.210526315789474,2.55769230769231,7
"148","{LegPress=Extensor,Gemeos=AgachamentoSmith} => {Crucifixo=Esteira}",0.184210526315789,0.777777777777778,0.236842105263158,2.46296296296296,7
